Timestamp,CPU Power (mW),GPU Power (mW),Total Power (mW)
2025-08-07 13:04:34,334.0,18.0,
2025-08-07 13:04:41,215.0,17.0,
2025-08-07 13:04:48,234.0,17.0,
2025-08-07 13:04:55,519.0,23.0,
2025-08-07 13:05:02,718.0,10.0,
2025-08-07 13:05:09,5895.0,55.0,
2025-08-07 13:05:16,2291.0,61.0,
2025-08-07 13:05:23,5723.0,44.0,
2025-08-07 13:05:30,2194.0,51.0,
2025-08-07 13:05:37,4608.0,48.0,
2025-08-07 13:05:45,6793.0,23.0,
2025-08-07 13:05:52,1429.0,41.0,
2025-08-07 13:05:59,935.0,45.0,
